replicate,gap,gap_points,eligible_pairs,flips,flip_rate,benchmark,audit_half,target_half
19,0.03,3.0,360,24,0.06666666666666667,MMLU-Pro,discovery,validation
19,0.05,5.0,593,24,0.04047217537942664,MMLU-Pro,discovery,validation
20,0.0025,0.25,41,10,0.24390243902439024,MMLU-Pro,discovery,validation
20,0.005,0.5,89,17,0.19101123595505617,MMLU-Pro,discovery,validation
20,0.01,1.0,150,19,0.12666666666666668,MMLU-Pro,discovery,validation
20,0.02,2.0,262,19,0.07251908396946564,MMLU-Pro,discovery,validation
20,0.03,3.0,360,19,0.05277777777777778,MMLU-Pro,discovery,validation
20,0.05,5.0,593,19,0.03204047217537943,MMLU-Pro,discovery,validation
21,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
21,0.005,0.5,89,22,0.24719101123595505,MMLU-Pro,discovery,validation
21,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
21,0.02,2.0,262,26,0.09923664122137404,MMLU-Pro,discovery,validation
21,0.03,3.0,360,26,0.07222222222222222,MMLU-Pro,discovery,validation
21,0.05,5.0,593,26,0.04384485666104553,MMLU-Pro,discovery,validation
22,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
22,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
22,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
22,0.02,2.0,262,26,0.09923664122137404,MMLU-Pro,discovery,validation
22,0.03,3.0,360,26,0.07222222222222222,MMLU-Pro,discovery,validation
22,0.05,5.0,593,26,0.04384485666104553,MMLU-Pro,discovery,validation
23,0.0025,0.25,41,9,0.21951219512195122,MMLU-Pro,discovery,validation
23,0.005,0.5,89,16,0.1797752808988764,MMLU-Pro,discovery,validation
23,0.01,1.0,150,21,0.14,MMLU-Pro,discovery,validation
23,0.02,2.0,262,21,0.08015267175572519,MMLU-Pro,discovery,validation
23,0.03,3.0,360,21,0.058333333333333334,MMLU-Pro,discovery,validation
23,0.05,5.0,593,21,0.03541315345699832,MMLU-Pro,discovery,validation
24,0.0025,0.25,41,11,0.2682926829268293,MMLU-Pro,discovery,validation
24,0.005,0.5,89,17,0.19101123595505617,MMLU-Pro,discovery,validation
24,0.01,1.0,150,19,0.12666666666666668,MMLU-Pro,discovery,validation
24,0.02,2.0,262,21,0.08015267175572519,MMLU-Pro,discovery,validation
24,0.03,3.0,360,21,0.058333333333333334,MMLU-Pro,discovery,validation
24,0.05,5.0,593,21,0.03541315345699832,MMLU-Pro,discovery,validation
25,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
25,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
25,0.01,1.0,150,29,0.19333333333333333,MMLU-Pro,discovery,validation
25,0.02,2.0,262,29,0.11068702290076336,MMLU-Pro,discovery,validation
25,0.03,3.0,360,29,0.08055555555555556,MMLU-Pro,discovery,validation
25,0.05,5.0,593,29,0.048903878583473864,MMLU-Pro,discovery,validation
26,0.0025,0.25,41,11,0.2682926829268293,MMLU-Pro,discovery,validation
26,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
26,0.01,1.0,150,24,0.16,MMLU-Pro,discovery,validation
26,0.02,2.0,262,25,0.09541984732824428,MMLU-Pro,discovery,validation
26,0.03,3.0,360,25,0.06944444444444445,MMLU-Pro,discovery,validation
26,0.05,5.0,593,25,0.04215851602023609,MMLU-Pro,discovery,validation
27,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
27,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
27,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
27,0.02,2.0,262,27,0.10305343511450382,MMLU-Pro,discovery,validation
27,0.03,3.0,360,27,0.075,MMLU-Pro,discovery,validation
27,0.05,5.0,593,27,0.045531197301854974,MMLU-Pro,discovery,validation
28,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
28,0.005,0.5,89,28,0.3146067415730337,MMLU-Pro,discovery,validation
28,0.01,1.0,150,31,0.20666666666666667,MMLU-Pro,discovery,validation
28,0.02,2.0,262,32,0.12213740458015267,MMLU-Pro,discovery,validation
28,0.03,3.0,360,32,0.08888888888888889,MMLU-Pro,discovery,validation
28,0.05,5.0,593,32,0.05396290050590219,MMLU-Pro,discovery,validation
29,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
29,0.005,0.5,89,29,0.3258426966292135,MMLU-Pro,discovery,validation
29,0.01,1.0,150,39,0.26,MMLU-Pro,discovery,validation
29,0.02,2.0,262,43,0.16412213740458015,MMLU-Pro,discovery,validation
29,0.03,3.0,360,43,0.11944444444444445,MMLU-Pro,discovery,validation
29,0.05,5.0,593,43,0.07251264755480608,MMLU-Pro,discovery,validation
30,0.0025,0.25,41,13,0.3170731707317073,MMLU-Pro,discovery,validation
30,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
30,0.01,1.0,150,20,0.13333333333333333,MMLU-Pro,discovery,validation
30,0.02,2.0,262,20,0.07633587786259542,MMLU-Pro,discovery,validation
30,0.03,3.0,360,20,0.05555555555555555,MMLU-Pro,discovery,validation
30,0.05,5.0,593,20,0.03372681281618887,MMLU-Pro,discovery,validation
31,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
31,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
31,0.01,1.0,150,33,0.22,MMLU-Pro,discovery,validation
31,0.02,2.0,262,34,0.1297709923664122,MMLU-Pro,discovery,validation
31,0.03,3.0,360,34,0.09444444444444444,MMLU-Pro,discovery,validation
31,0.05,5.0,593,34,0.05733558178752108,MMLU-Pro,discovery,validation
32,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
32,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
32,0.01,1.0,150,27,0.18,MMLU-Pro,discovery,validation
32,0.02,2.0,262,27,0.10305343511450382,MMLU-Pro,discovery,validation
32,0.03,3.0,360,27,0.075,MMLU-Pro,discovery,validation
32,0.05,5.0,593,27,0.045531197301854974,MMLU-Pro,discovery,validation
33,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
33,0.005,0.5,89,28,0.3146067415730337,MMLU-Pro,discovery,validation
33,0.01,1.0,150,34,0.22666666666666666,MMLU-Pro,discovery,validation
33,0.02,2.0,262,34,0.1297709923664122,MMLU-Pro,discovery,validation
33,0.03,3.0,360,34,0.09444444444444444,MMLU-Pro,discovery,validation
33,0.05,5.0,593,34,0.05733558178752108,MMLU-Pro,discovery,validation
34,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
34,0.005,0.5,89,30,0.33707865168539325,MMLU-Pro,discovery,validation
34,0.01,1.0,150,34,0.22666666666666666,MMLU-Pro,discovery,validation
34,0.02,2.0,262,34,0.1297709923664122,MMLU-Pro,discovery,validation
34,0.03,3.0,360,34,0.09444444444444444,MMLU-Pro,discovery,validation
34,0.05,5.0,593,34,0.05733558178752108,MMLU-Pro,discovery,validation
35,0.0025,0.25,41,6,0.14634146341463414,MMLU-Pro,discovery,validation
35,0.005,0.5,89,14,0.15730337078651685,MMLU-Pro,discovery,validation
35,0.01,1.0,150,14,0.09333333333333334,MMLU-Pro,discovery,validation
35,0.02,2.0,262,14,0.05343511450381679,MMLU-Pro,discovery,validation
35,0.03,3.0,360,14,0.03888888888888889,MMLU-Pro,discovery,validation
35,0.05,5.0,593,14,0.023608768971332208,MMLU-Pro,discovery,validation
36,0.0025,0.25,41,18,0.43902439024390244,MMLU-Pro,discovery,validation
36,0.005,0.5,89,34,0.38202247191011235,MMLU-Pro,discovery,validation
36,0.01,1.0,150,38,0.25333333333333335,MMLU-Pro,discovery,validation
36,0.02,2.0,262,38,0.1450381679389313,MMLU-Pro,discovery,validation
36,0.03,3.0,360,38,0.10555555555555556,MMLU-Pro,discovery,validation
36,0.05,5.0,593,38,0.06408094435075885,MMLU-Pro,discovery,validation
37,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
37,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
37,0.01,1.0,150,23,0.15333333333333332,MMLU-Pro,discovery,validation
37,0.02,2.0,262,23,0.08778625954198473,MMLU-Pro,discovery,validation
37,0.03,3.0,360,23,0.06388888888888888,MMLU-Pro,discovery,validation
37,0.05,5.0,593,23,0.0387858347386172,MMLU-Pro,discovery,validation
38,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
38,0.005,0.5,89,17,0.19101123595505617,MMLU-Pro,discovery,validation
38,0.01,1.0,150,19,0.12666666666666668,MMLU-Pro,discovery,validation
38,0.02,2.0,262,19,0.07251908396946564,MMLU-Pro,discovery,validation
38,0.03,3.0,360,19,0.05277777777777778,MMLU-Pro,discovery,validation
38,0.05,5.0,593,19,0.03204047217537943,MMLU-Pro,discovery,validation
39,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
39,0.005,0.5,89,18,0.20224719101123595,MMLU-Pro,discovery,validation
39,0.01,1.0,150,20,0.13333333333333333,MMLU-Pro,discovery,validation
39,0.02,2.0,262,22,0.08396946564885496,MMLU-Pro,discovery,validation
39,0.03,3.0,360,22,0.06111111111111111,MMLU-Pro,discovery,validation
39,0.05,5.0,593,22,0.03709949409780776,MMLU-Pro,discovery,validation
40,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
40,0.005,0.5,89,22,0.24719101123595505,MMLU-Pro,discovery,validation
40,0.01,1.0,150,25,0.16666666666666666,MMLU-Pro,discovery,validation
40,0.02,2.0,262,25,0.09541984732824428,MMLU-Pro,discovery,validation
40,0.03,3.0,360,25,0.06944444444444445,MMLU-Pro,discovery,validation
40,0.05,5.0,593,25,0.04215851602023609,MMLU-Pro,discovery,validation
41,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
41,0.005,0.5,89,34,0.38202247191011235,MMLU-Pro,discovery,validation
41,0.01,1.0,150,36,0.24,MMLU-Pro,discovery,validation
41,0.02,2.0,262,36,0.13740458015267176,MMLU-Pro,discovery,validation
41,0.03,3.0,360,36,0.1,MMLU-Pro,discovery,validation
41,0.05,5.0,593,36,0.06070826306913996,MMLU-Pro,discovery,validation
42,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
42,0.005,0.5,89,23,0.25842696629213485,MMLU-Pro,discovery,validation
42,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
42,0.02,2.0,262,26,0.09923664122137404,MMLU-Pro,discovery,validation
42,0.03,3.0,360,26,0.07222222222222222,MMLU-Pro,discovery,validation
42,0.05,5.0,593,26,0.04384485666104553,MMLU-Pro,discovery,validation
43,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
43,0.005,0.5,89,23,0.25842696629213485,MMLU-Pro,discovery,validation
43,0.01,1.0,150,25,0.16666666666666666,MMLU-Pro,discovery,validation
43,0.02,2.0,262,25,0.09541984732824428,MMLU-Pro,discovery,validation
43,0.03,3.0,360,25,0.06944444444444445,MMLU-Pro,discovery,validation
43,0.05,5.0,593,25,0.04215851602023609,MMLU-Pro,discovery,validation
44,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
44,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
44,0.01,1.0,150,22,0.14666666666666667,MMLU-Pro,discovery,validation
44,0.02,2.0,262,22,0.08396946564885496,MMLU-Pro,discovery,validation
44,0.03,3.0,360,22,0.06111111111111111,MMLU-Pro,discovery,validation
44,0.05,5.0,593,22,0.03709949409780776,MMLU-Pro,discovery,validation
45,0.0025,0.25,41,15,0.36585365853658536,MMLU-Pro,discovery,validation
45,0.005,0.5,89,26,0.29213483146067415,MMLU-Pro,discovery,validation
45,0.01,1.0,150,30,0.2,MMLU-Pro,discovery,validation
45,0.02,2.0,262,30,0.11450381679389313,MMLU-Pro,discovery,validation
45,0.03,3.0,360,30,0.08333333333333333,MMLU-Pro,discovery,validation
45,0.05,5.0,593,30,0.050590219224283306,MMLU-Pro,discovery,validation
46,0.0025,0.25,41,19,0.4634146341463415,MMLU-Pro,discovery,validation
46,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
46,0.01,1.0,150,28,0.18666666666666668,MMLU-Pro,discovery,validation
46,0.02,2.0,262,28,0.10687022900763359,MMLU-Pro,discovery,validation
46,0.03,3.0,360,28,0.07777777777777778,MMLU-Pro,discovery,validation
46,0.05,5.0,593,28,0.047217537942664416,MMLU-Pro,discovery,validation
47,0.0025,0.25,41,18,0.43902439024390244,MMLU-Pro,discovery,validation
47,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
47,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
47,0.02,2.0,262,26,0.09923664122137404,MMLU-Pro,discovery,validation
47,0.03,3.0,360,26,0.07222222222222222,MMLU-Pro,discovery,validation
47,0.05,5.0,593,26,0.04384485666104553,MMLU-Pro,discovery,validation
48,0.0025,0.25,41,18,0.43902439024390244,MMLU-Pro,discovery,validation
48,0.005,0.5,89,35,0.39325842696629215,MMLU-Pro,discovery,validation
48,0.01,1.0,150,39,0.26,MMLU-Pro,discovery,validation
48,0.02,2.0,262,39,0.14885496183206107,MMLU-Pro,discovery,validation
48,0.03,3.0,360,39,0.10833333333333334,MMLU-Pro,discovery,validation
48,0.05,5.0,593,39,0.0657672849915683,MMLU-Pro,discovery,validation
49,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
49,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
49,0.01,1.0,150,20,0.13333333333333333,MMLU-Pro,discovery,validation
49,0.02,2.0,262,20,0.07633587786259542,MMLU-Pro,discovery,validation
49,0.03,3.0,360,20,0.05555555555555555,MMLU-Pro,discovery,validation
49,0.05,5.0,593,20,0.03372681281618887,MMLU-Pro,discovery,validation
50,0.0025,0.25,41,19,0.4634146341463415,MMLU-Pro,discovery,validation
50,0.005,0.5,89,26,0.29213483146067415,MMLU-Pro,discovery,validation
50,0.01,1.0,150,29,0.19333333333333333,MMLU-Pro,discovery,validation
50,0.02,2.0,262,29,0.11068702290076336,MMLU-Pro,discovery,validation
50,0.03,3.0,360,29,0.08055555555555556,MMLU-Pro,discovery,validation
50,0.05,5.0,593,29,0.048903878583473864,MMLU-Pro,discovery,validation
51,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
51,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
51,0.01,1.0,150,23,0.15333333333333332,MMLU-Pro,discovery,validation
51,0.02,2.0,262,23,0.08778625954198473,MMLU-Pro,discovery,validation
51,0.03,3.0,360,23,0.06388888888888888,MMLU-Pro,discovery,validation
51,0.05,5.0,593,23,0.0387858347386172,MMLU-Pro,discovery,validation
52,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
52,0.005,0.5,89,24,0.2696629213483146,MMLU-Pro,discovery,validation
52,0.01,1.0,150,27,0.18,MMLU-Pro,discovery,validation
52,0.02,2.0,262,30,0.11450381679389313,MMLU-Pro,discovery,validation
52,0.03,3.0,360,30,0.08333333333333333,MMLU-Pro,discovery,validation
52,0.05,5.0,593,30,0.050590219224283306,MMLU-Pro,discovery,validation
53,0.0025,0.25,41,12,0.2926829268292683,MMLU-Pro,discovery,validation
53,0.005,0.5,89,19,0.21348314606741572,MMLU-Pro,discovery,validation
53,0.01,1.0,150,21,0.14,MMLU-Pro,discovery,validation
53,0.02,2.0,262,22,0.08396946564885496,MMLU-Pro,discovery,validation
53,0.03,3.0,360,22,0.06111111111111111,MMLU-Pro,discovery,validation
53,0.05,5.0,593,22,0.03709949409780776,MMLU-Pro,discovery,validation
54,0.0025,0.25,41,13,0.3170731707317073,MMLU-Pro,discovery,validation
54,0.005,0.5,89,21,0.23595505617977527,MMLU-Pro,discovery,validation
54,0.01,1.0,150,21,0.14,MMLU-Pro,discovery,validation
54,0.02,2.0,262,21,0.08015267175572519,MMLU-Pro,discovery,validation
54,0.03,3.0,360,21,0.058333333333333334,MMLU-Pro,discovery,validation
54,0.05,5.0,593,21,0.03541315345699832,MMLU-Pro,discovery,validation
55,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
55,0.005,0.5,89,33,0.3707865168539326,MMLU-Pro,discovery,validation
55,0.01,1.0,150,33,0.22,MMLU-Pro,discovery,validation
55,0.02,2.0,262,33,0.12595419847328243,MMLU-Pro,discovery,validation
55,0.03,3.0,360,33,0.09166666666666666,MMLU-Pro,discovery,validation
55,0.05,5.0,593,33,0.05564924114671164,MMLU-Pro,discovery,validation
56,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
56,0.005,0.5,89,20,0.2247191011235955,MMLU-Pro,discovery,validation
56,0.01,1.0,150,21,0.14,MMLU-Pro,discovery,validation
56,0.02,2.0,262,21,0.08015267175572519,MMLU-Pro,discovery,validation
56,0.03,3.0,360,21,0.058333333333333334,MMLU-Pro,discovery,validation
56,0.05,5.0,593,21,0.03541315345699832,MMLU-Pro,discovery,validation
57,0.0025,0.25,41,14,0.34146341463414637,MMLU-Pro,discovery,validation
57,0.005,0.5,89,20,0.2247191011235955,MMLU-Pro,discovery,validation
57,0.01,1.0,150,22,0.14666666666666667,MMLU-Pro,discovery,validation
57,0.02,2.0,262,23,0.08778625954198473,MMLU-Pro,discovery,validation
57,0.03,3.0,360,23,0.06388888888888888,MMLU-Pro,discovery,validation
57,0.05,5.0,593,23,0.0387858347386172,MMLU-Pro,discovery,validation
58,0.0025,0.25,41,17,0.4146341463414634,MMLU-Pro,discovery,validation
58,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
58,0.01,1.0,150,26,0.17333333333333334,MMLU-Pro,discovery,validation
58,0.02,2.0,262,26,0.09923664122137404,MMLU-Pro,discovery,validation
58,0.03,3.0,360,26,0.07222222222222222,MMLU-Pro,discovery,validation
58,0.05,5.0,593,26,0.04384485666104553,MMLU-Pro,discovery,validation
59,0.0025,0.25,41,16,0.3902439024390244,MMLU-Pro,discovery,validation
59,0.005,0.5,89,25,0.2808988764044944,MMLU-Pro,discovery,validation
59,0.01,1.0,150,29,0.19333333333333333,MMLU-Pro,discovery,validation
59,0.02,2.0,262,29,0.11068702290076336,MMLU-Pro,discovery,validation
59,0.03,3.0,360,29,0.08055555555555556,MMLU-Pro,discovery,validation
